City,Working Hours,Location,Phone Number,Coordinates
Скопје,00.00 - 24.00,Бул. Едвард Кардељ бр.1; 1000 Скопје,3153001,"42.00240943904155, 21.403958177476525"
Скопје,00.00 - 24.00,Бул. Партизански Одреди бр.82; 1000 Скопје,3153002,"41.99685755490201, 21.404456811565552"
Скопје,06:00 - 22:00,ул. Митрополит Теодосиј Гологанов бр.104; 1000 Скопје,3153003,"41.99465748060947, 21.395943082728696"
Скопје,00.00 - 24.00,ул. Козле бр.89; 1000 Скопје,3153004,"41.994649506860746, 21.395932353892082"
Скопје,06.00 - 20.00; Недела не работи,Бул. Гоце Делчев бр.20; 1000 Скопје,3153005,"0,0"
Автопат Скопје-Куманово,06.00 - 18.00,Автопат Скопје-Куманово; 1041 Илинден,3153006,"42.02759474456598, 21.676181520833488"
Скопје,00.00 - 24.00,ул. Методија Андонов-Ченто бр.146-А; 1000 Скопје,3153007,"42.010705498890985, 21.508717811565862"
Скопје,00.00 - 24.00,ул. Јадранска Магистрала бр.54; 1000 Скопје,3153008,"0,0"
Скопје,06.00 - 20.00; Сабота 06.00 - 13.00; Недела не работи,ул. Јадранска Магистрала бр.17; 1000 Скопје,3153009,"42.03311018563148, 21.40193531555738"
Тетово,00.00 - 24.00,Скопски Пат; 1200 Тетово,3153010,"0,0"
Гостивар,00.00 - 24.00,ул. Борис Кидрич бр.бб; 1230 Гостивар,3153011,"41.803686503883256, 20.91460798457898"
Дебар,00.00 - 24.00,ул. Велко Влаховиќ; бр.29; 1250 Дебар,3153012,"41.514497786512884, 20.518803811550004"
Куманово,00.00 - 24.00,ул. 11-ти Октомври бр.91; 1300 Куманово,3153013,"42.13323783220246, 21.70272781342611"
Куманово,06.00 - 22.00,ул. Доне Божинов бр.45; 1300 Куманово,3153014,"42.14002208961626, 21.71920199807996"
Крива Паланка,06.00 - 22.00,ул. Маршал Тито бр.26; 1330 Крива Паланка,3153015,"42.19626277297007, 22.320963998081712"
Битола,00.00 - 24.00,ул. Прилепска бр.63; 7000 Битола,3153016,"41.0400286249721, 21.347510726881584"
Битола,00.00 - 24.00,ул. Иво Лола Рибар бр.30; 7000 Битола,3153017,"41.88390084298494, 21.688846455744894"
Автопат Скопје-Велес,00.00 - 24.00,Автопат Скопје-Велес; 1043 Петровец,3153018,"41.88384492969504, 21.68886791341813"
Демир Хисар,06.00 - 22.00,ул. Битолска бр.61; 7240 Демир Хисар,3153019,"41.21528226189146, 21.204572269213898"
Ресен,00.00 - 24.00,ул. Корчуланска бр.29; 7310 Ресен,3153020,"41.08307315317773, 21.023040726882872"
Охрид,06.00 - 22.00,ул. 7-ми Ноември; бр.284В; 6000 Охрид,3153021,"41.123722007045814, 20.812357598047534"
Охрид,00.00 - 24.00,Булевар Туристичка бр.2А; 6000 Охрид,3153022,"0,0"
Охрид,00.00 - 24.00,Населено Место Без Уличен систем; Подмоље; 6000 Охрид,3153023,"41.15952628939821, 20.750960269212104"
Струга,00.00 - 24.00,ул. Пролетерски Бригади бр.68; 6330 Струга,3153024,"41.18229820344518, 20.67615826921279"
Прилеп,06.00 - 22.00,ул. Александар Македонски бр.114; 7500 Прилеп,3153025,"41.327666149582505, 21.533317726890647"
Прилеп,00.00 - 24.00,ул. Марксова бр.44Б; 7500 Прилеп,3153026,"41.3482080321503, 21.55194053666886"
Крушево,06.00 - 17.00,бр. м.в. Порта; 7550 Крушево,3153027,"41.356747191964445, 21.25013899805491"
Кочани,06.00 - 22.00,ул. Никола Карев бр.2; 2300 Кочани,3153028,"41.91386296308245, 22.411817998072635"
Кочани,06.00 - 22.00,ул. Тодосие Паунов бр.34/А; 2300 Кочани,3153029,"41.91390123079715, 22.42785518272628"
Кочани,00.00 - 24.00,ул. Димитар Влахов бр.111; 2300 Кочани,3153030,"41.904724919250114, 22.40217808272586"
Виница,06.00 - 22.00,ул. Индустриска бр.2; 2310 Виница,3153031,"41.88678933568825, 22.499628804442807"
Делчево,07.00 - 19.00,Булевар Македонија бр.4А; 2320 Делчево,3153032,"41.97463918929227, 22.769799355747864"
Берово,06.00 - 22.00,ул. Маршал Тито бр.3/А; 2330 Берово,3153033,"41.71599540595864, 22.85070924173832"
Велес,00.00 - 24.00,ул. Димитар Влахов бр.71; 1400 Велес,3153034,"41.72348174082858, 21.787075250787655"
Велес,00.00 - 24.00,ул. Алексо Демниевски - Бауман бр.16; 1400 Велес,3153035,"41.7187144824442, 21.77333607014658"
Градско,06.00 - 22.00,ул.Александар Македонски бр.108 Градско,3153036,"0,0"
Неготино,00.00 - 24.00,ул. Маршал Тито бр.2А; 1440 Неготино,3153037,"0,0"
Кавадарци,00.00 - 24.00,ул. 29-ти Ноември бр.38; 1430 Кавадарци,3153038,"41.43505623799231, 22.00352371507679"
Гевгелија,06.00 - 22.00,Булевар Гевгелија бр.22; 1480 Гевгелија,3153039,"41.14634897928701, 22.50232472688483"
Прилеп,07.00 - 19.00; Сабота 07.00 - 12.00; Недела не работи,С.Ропотово; 7500 Прилеп,3153040,"41.45179045693873, 21.378141904819515"
Јегуновце,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,Вратница; 1225 Јегуновце,3153041,"0,0"
Автопат Скопје-Гевгелија,00.00 - 24.00,бр.Автопат Скопје-Гевгелија/Демир Капија; 1442 Демир Капија,3153042,"41.410637165274714, 22.246823726893286"
